timestamp,city,aqi,pm25,temperature,humidity
29-08-2025 14:44,Delhi,76,46.88,30.5,66.7
29-08-2025 15:44,Delhi,71,47.75,26.2,43.3
29-08-2025 16:44,Delhi,115,62.96,24.5,80.7
29-08-2025 17:44,Delhi,108,78.07,33.1,52.3
29-08-2025 18:44,Delhi,71,51,39.8,82.1
29-08-2025 19:44,Delhi,87,46.24,18.9,78
29-08-2025 20:44,Delhi,86,52.97,33.7,42.6
29-08-2025 21:44,Delhi,134,62,27.6,48.8
29-08-2025 22:44,Delhi,86,50.46,19.2,69
29-08-2025 23:44,Delhi,71,43.5,18,88.2
30-08-2025 00:44,Delhi,220,124.98,28.4,41.4
30-08-2025 01:44,Delhi,72,47.11,21.3,47.3
30-08-2025 02:44,Delhi,90,64.86,19.6,41.7
30-08-2025 03:44,Delhi,98,56.33,26.2,89.2
30-08-2025 04:44,Delhi,97,53.02,32.5,58.9
30-08-2025 05:44,Delhi,109,70.93,24.8,52
30-08-2025 06:44,Delhi,132,90.22,39,42.4
30-08-2025 07:44,Delhi,238,139.9,34.4,80.9
30-08-2025 08:44,Delhi,131,88.5,24.8,29.4
30-08-2025 09:44,Delhi,140,80.44,31.5,81.9
30-08-2025 10:44,Delhi,70,48.46,30.3,39.1
30-08-2025 11:44,Delhi,77,39.96,31.2,89.4
30-08-2025 12:44,Delhi,86,52.6,24,70.8
30-08-2025 13:44,Delhi,209,156.17,24.9,43.9
30-08-2025 14:44,Delhi,89,58,34.4,70.5
30-08-2025 15:44,Delhi,101,47.45,28.2,26.9
30-08-2025 16:44,Delhi,111,79.53,32.3,70.4
30-08-2025 17:44,Delhi,117,71.6,18.3,71.7
30-08-2025 18:44,Delhi,89,57.5,39.9,75.6
30-08-2025 19:44,Delhi,139,104.02,30.7,45.3
30-08-2025 20:44,Delhi,72,38.81,25.6,69
30-08-2025 21:44,Delhi,72,49.41,31.9,47.2
30-08-2025 22:44,Delhi,138,70.5,22.5,25.6
30-08-2025 23:44,Delhi,121,67.64,27.5,67.7
31-08-2025 00:44,Delhi,107,55.93,31.8,85.2
31-08-2025 01:44,Delhi,73,44.84,19,66.4
31-08-2025 02:44,Delhi,125,72.03,22.7,66.3
31-08-2025 03:44,Delhi,125,63.13,34.7,82
31-08-2025 04:44,Delhi,121,83.62,22.3,62.8
31-08-2025 05:44,Delhi,127,80.26,26.3,50.3
31-08-2025 06:44,Delhi,110,51.38,41,88.2
31-08-2025 07:44,Delhi,97,71.79,35.2,56.5
31-08-2025 08:44,Delhi,204,150.21,36.9,86.6
31-08-2025 09:44,Delhi,115,55.21,38.8,82.3
31-08-2025 10:44,Delhi,135,71.07,30.1,56.8
31-08-2025 11:44,Delhi,70,45.27,36.4,46
31-08-2025 12:44,Delhi,111,77.76,28.2,69.8
31-08-2025 13:44,Delhi,125,87.03,24.3,76.2
31-08-2025 14:44,Delhi,138,84.58,22,64.9
31-08-2025 15:44,Delhi,79,44.28,38.3,51.2
31-08-2025 16:44,Delhi,102,51.96,31.1,57.5
